Query,Time,Value,Unit
"text=""actor"" AND channel=""CNN""",1/1/2010,82,seconds
"text=""actor"" AND channel=""CNN""",2/1/2010,73,seconds
"text=""actor"" AND channel=""CNN""",3/1/2010,135.058,seconds
"text=""actor"" AND channel=""CNN""",4/1/2010,88,seconds
"text=""actor"" AND channel=""CNN""",5/1/2010,43.697,seconds
"text=""actor"" AND channel=""CNN""",6/1/2010,43.7,seconds
"text=""actor"" AND channel=""CNN""",7/1/2010,125.153,seconds
"text=""actor"" AND channel=""CNN""",8/1/2010,130.047,seconds
"text=""actor"" AND channel=""CNN""",9/1/2010,69,seconds
"text=""actor"" AND channel=""CNN""",10/1/2010,158,seconds
"text=""actor"" AND channel=""CNN""",11/1/2010,238.719,seconds
"text=""actor"" AND channel=""CNN""",12/1/2010,249.849,seconds
"text=""actor"" AND channel=""CNN""",1/1/2011,240.251,seconds
"text=""actor"" AND channel=""CNN""",2/1/2011,363.388,seconds
"text=""actor"" AND channel=""CNN""",3/1/2011,184.635,seconds
"text=""actor"" AND channel=""CNN""",4/1/2011,160.149,seconds
"text=""actor"" AND channel=""CNN""",5/1/2011,133,seconds
"text=""actor"" AND channel=""CNN""",6/1/2011,174.591,seconds
"text=""actor"" AND channel=""CNN""",7/1/2011,165.858,seconds
"text=""actor"" AND channel=""CNN""",8/1/2011,118.501,seconds
"text=""actor"" AND channel=""CNN""",9/1/2011,178.786,seconds
"text=""actor"" AND channel=""CNN""",10/1/2011,177.846,seconds
"text=""actor"" AND channel=""CNN""",11/1/2011,294.129,seconds
"text=""actor"" AND channel=""CNN""",12/1/2011,324.261,seconds
"text=""actor"" AND channel=""CNN""",1/1/2012,212.873,seconds
"text=""actor"" AND channel=""CNN""",2/1/2012,147.748,seconds
"text=""actor"" AND channel=""CNN""",3/1/2012,132,seconds
"text=""actor"" AND channel=""CNN""",4/1/2012,124.751,seconds
"text=""actor"" AND channel=""CNN""",5/1/2012,153.84,seconds
"text=""actor"" AND channel=""CNN""",6/1/2012,146,seconds
"text=""actor"" AND channel=""CNN""",7/1/2012,240.774,seconds
"text=""actor"" AND channel=""CNN""",8/1/2012,82,seconds
"text=""actor"" AND channel=""CNN""",9/1/2012,137.244,seconds
"text=""actor"" AND channel=""CNN""",10/1/2012,79.606,seconds
"text=""actor"" AND channel=""CNN""",11/1/2012,87.571,seconds
"text=""actor"" AND channel=""CNN""",12/1/2012,196.494,seconds
"text=""actor"" AND channel=""CNN""",1/1/2013,273.881,seconds
"text=""actor"" AND channel=""CNN""",2/1/2013,248.5,seconds
"text=""actor"" AND channel=""CNN""",3/1/2013,176.625,seconds
"text=""actor"" AND channel=""CNN""",4/1/2013,77.154,seconds
"text=""actor"" AND channel=""CNN""",5/1/2013,81.679,seconds
"text=""actor"" AND channel=""CNN""",6/1/2013,371.8,seconds
"text=""actor"" AND channel=""CNN""",7/1/2013,142.46,seconds
"text=""actor"" AND channel=""CNN""",8/1/2013,101,seconds
"text=""actor"" AND channel=""CNN""",9/1/2013,88,seconds
"text=""actor"" AND channel=""CNN""",10/1/2013,114,seconds
"text=""actor"" AND channel=""CNN""",11/1/2013,118.482,seconds
"text=""actor"" AND channel=""CNN""",12/1/2013,287.771,seconds
"text=""actor"" AND channel=""CNN""",1/1/2014,237.747,seconds
"text=""actor"" AND channel=""CNN""",2/1/2014,543.62,seconds
"text=""actor"" AND channel=""CNN""",3/1/2014,120.788,seconds
"text=""actor"" AND channel=""CNN""",4/1/2014,41,seconds
"text=""actor"" AND channel=""CNN""",5/1/2014,105.53,seconds
"text=""actor"" AND channel=""CNN""",6/1/2014,98,seconds
"text=""actor"" AND channel=""CNN""",7/1/2014,56.648,seconds
"text=""actor"" AND channel=""CNN""",8/1/2014,292.138,seconds
"text=""actor"" AND channel=""CNN""",9/1/2014,65,seconds
"text=""actor"" AND channel=""CNN""",10/1/2014,77,seconds
