Query,Time,Value,Unit
"text=""congressman"" AND channel=""CNN""",1/1/2010,5604.99,seconds
"text=""congressman"" AND channel=""CNN""",1/1/2011,6709.07,seconds
"text=""congressman"" AND channel=""CNN""",1/1/2012,6342.691,seconds
"text=""congressman"" AND channel=""CNN""",1/1/2013,5082.726,seconds
"text=""congressman"" AND channel=""CNN""",1/1/2014,3315.479,seconds
"text=""congressman"" AND channel=""CNN""",1/1/2015,3850.36,seconds
"text=""congressman"" AND channel=""CNN""",1/1/2016,5428.105,seconds
"text=""congressman"" AND channel=""CNN""",1/1/2017,11571.999,seconds
"text=""congressman"" AND channel=""CNN""",1/1/2018,9335.716,seconds
"text=""congressman"" AND channel=""CNN""",1/1/2019,13281.618,seconds
"text=""congressman"" AND channel=""CNN""",1/1/2020,4877.652,seconds
"text=""congressman"" AND channel=""CNN""",1/1/2021,8110.761,seconds
"text=""congressman"" AND channel=""FOX""",1/1/2010,11037.419,seconds
"text=""congressman"" AND channel=""FOX""",1/1/2011,11327.666,seconds
"text=""congressman"" AND channel=""FOX""",1/1/2012,10036.702,seconds
"text=""congressman"" AND channel=""FOX""",1/1/2013,8915.142,seconds
"text=""congressman"" AND channel=""FOX""",1/1/2014,7365.712,seconds
"text=""congressman"" AND channel=""FOX""",1/1/2015,4279.375,seconds
"text=""congressman"" AND channel=""FOX""",1/1/2016,4807.657,seconds
"text=""congressman"" AND channel=""FOX""",1/1/2017,11167.737,seconds
"text=""congressman"" AND channel=""FOX""",1/1/2018,12875.225,seconds
"text=""congressman"" AND channel=""FOX""",1/1/2019,14347.07,seconds
"text=""congressman"" AND channel=""FOX""",1/1/2020,9954.233,seconds
"text=""congressman"" AND channel=""FOX""",1/1/2021,8882.605,seconds
"text=""congresswoman"" AND channel=""CNN""",1/1/2010,790.143,seconds
"text=""congresswoman"" AND channel=""CNN""",1/1/2011,4946.453,seconds
"text=""congresswoman"" AND channel=""CNN""",1/1/2012,1324.534,seconds
"text=""congresswoman"" AND channel=""CNN""",1/1/2013,969.896,seconds
"text=""congresswoman"" AND channel=""CNN""",1/1/2014,483.21,seconds
"text=""congresswoman"" AND channel=""CNN""",1/1/2015,550.551,seconds
"text=""congresswoman"" AND channel=""CNN""",1/1/2016,732.688,seconds
"text=""congresswoman"" AND channel=""CNN""",1/1/2017,2343.738,seconds
"text=""congresswoman"" AND channel=""CNN""",1/1/2018,1191.351,seconds
"text=""congresswoman"" AND channel=""CNN""",1/1/2019,4891.046,seconds
"text=""congresswoman"" AND channel=""CNN""",1/1/2020,1690.782,seconds
"text=""congresswoman"" AND channel=""CNN""",1/1/2021,4437.286,seconds
"text=""congresswoman"" AND channel=""FOX""",1/1/2010,943.954,seconds
"text=""congresswoman"" AND channel=""FOX""",1/1/2011,4722.735,seconds
"text=""congresswoman"" AND channel=""FOX""",1/1/2012,1074.727,seconds
"text=""congresswoman"" AND channel=""FOX""",1/1/2013,859.193,seconds
"text=""congresswoman"" AND channel=""FOX""",1/1/2014,727.027,seconds
"text=""congresswoman"" AND channel=""FOX""",1/1/2015,468.786,seconds
"text=""congresswoman"" AND channel=""FOX""",1/1/2016,507,seconds
"text=""congresswoman"" AND channel=""FOX""",1/1/2017,1635.533,seconds
"text=""congresswoman"" AND channel=""FOX""",1/1/2018,1494.069,seconds
"text=""congresswoman"" AND channel=""FOX""",1/1/2019,5746.941,seconds
"text=""congresswoman"" AND channel=""FOX""",1/1/2020,2191.841,seconds
"text=""congresswoman"" AND channel=""FOX""",1/1/2021,3383.712,seconds
"text=""congressperson"" AND channel=""CNN""",1/1/2010,5,seconds
"text=""congressperson"" AND channel=""CNN""",1/1/2011,20,seconds
"text=""congressperson"" AND channel=""CNN""",1/1/2012,8,seconds
"text=""congressperson"" AND channel=""CNN""",1/1/2013,12,seconds
"text=""congressperson"" AND channel=""CNN""",1/1/2014,2,seconds
"text=""congressperson"" AND channel=""CNN""",1/1/2015,4,seconds
"text=""congressperson"" AND channel=""CNN""",1/1/2016,3,seconds
"text=""congressperson"" AND channel=""CNN""",1/1/2017,11,seconds
"text=""congressperson"" AND channel=""CNN""",1/1/2018,5,seconds
"text=""congressperson"" AND channel=""CNN""",1/1/2019,22.798,seconds
"text=""congressperson"" AND channel=""CNN""",1/1/2020,9,seconds
"text=""congressperson"" AND channel=""CNN""",1/1/2021,33,seconds
"text=""congressperson"" AND channel=""FOX""",1/1/2010,8,seconds
"text=""congressperson"" AND channel=""FOX""",1/1/2011,15,seconds
"text=""congressperson"" AND channel=""FOX""",1/1/2012,3,seconds
"text=""congressperson"" AND channel=""FOX""",1/1/2013,2,seconds
"text=""congressperson"" AND channel=""FOX""",1/1/2014,2,seconds
"text=""congressperson"" AND channel=""FOX""",1/1/2015,3,seconds
"text=""congressperson"" AND channel=""FOX""",1/1/2016,3,seconds
"text=""congressperson"" AND channel=""FOX""",1/1/2017,33.867,seconds
"text=""congressperson"" AND channel=""FOX""",1/1/2018,17,seconds
"text=""congressperson"" AND channel=""FOX""",1/1/2019,15,seconds
"text=""congressperson"" AND channel=""FOX""",1/1/2020,17,seconds
"text=""congressperson"" AND channel=""FOX""",1/1/2021,19.856,seconds
