workerid,proliferate.condition,choice,correct,gender,lexeme,name,response,trial_id,trial_no,type,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.gender_q1,subject_information.gender_q10,subject_information.gender_q11,subject_information.gender_q12,subject_information.gender_q13,subject_information.gender_q2,subject_information.gender_q3,subject_information.gender_q4,subject_information.gender_q5,subject_information.gender_q6,subject_information.gender_q7,subject_information.gender_q8,subject_information.gender_q9,subject_information.language,subject_information.party_alignment,subject_information.price,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
839,Repubs,True,,,,,,example,,,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,there,filler,are,,0,filler_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,school,filler,is,,1,filler_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,female,heir,Jessica,heiress,,2,critical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,Kiwi,filler,has,,3,filler_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,definite,filler,a,,4,filler_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,Spain,filler,from,,5,filler_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,dalmatian,filler,dalmatian,,6,filler_semantic,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,male,hero,John,hero,,7,critical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,male,businessperson,Jacob,businessman,,8,critical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,1,attention,eating,attention,eat,,9,test_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,dancer,filler,choreographer,,10,filler_semantic,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,China,filler,to,,11,filler_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,doctor,filler,doctor,,12,filler_semantic,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,1,attention,party,attention,it,,13,test_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,director,filler,supervisor,,14,filler_semantic,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,1,attention,olympics,attention,United States,,15,test_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,teacher,filler,professor,,16,filler_semantic,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,sipping,filler,on,,17,filler_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,male,layperson,Christopher,layman,,18,critical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,1,attention,store,attention,walking,,19,test_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,napkin,filler,towel,,20,filler_semantic,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,submarine,filler,under,,21,filler_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,programmer,filler,software engineer,,22,filler_semantic,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,proud,filler,proud,,23,filler_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,female,anchor,Samantha,anchorwoman,,24,critical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,numbers,filler,numbers,,25,filler_semantic,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,female,host,Elizabeth,hostess,,26,critical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,cook,filler,chef,,27,filler_semantic,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,soup,filler,with,,28,filler_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,male,police officer,Joshua,policeman,,29,critical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,shipping,filler,shipping,,30,filler_semantic,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,1,attention,typing,attention,the,,31,test_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
839,Repubs,,0,filler,lake,filler,lives,,32,filler_grammatical,19,Yes,,2,2,Female,89,15,10,50,9,100,92,98,50,42,35,30,28,English,1,1,Chrome,Windows,1080,1920,8.9346,
