workerid,proliferate.condition,gender,gendered_morph,id,neutral_morh,orthog,response,scale,slide_number_in_experiment,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
53,Comprehensive,,,example1,,,5,,2,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,male,man_woman,Horseperson,person_compound,horseman,2,MF,4,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,male,man_woman,Salesperson,person_compound,salesman,2,MF,5,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,female,suffix,Heir,male_adoption,heiress,7,MF,6,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,neutral,man_woman,Congressperson,person_compound,congressperson,4,MF,7,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,neutral,man_woman,Assemblyperson,person_compound,assemblyperson,4,MF,8,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,female,man_woman,Anchor,clipping,anchorwoman,7,MF,9,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,neutral,gender_compound,Bartender,neutral_compound,bartender,4,MF,10,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,male,man_woman,Businessperson,person_compound,businessman,2,MF,11,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,female,suffix,Host,male_adoption,hostess,7,MF,12,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,male,man_woman,Stunt_double,neutral_compound,stuntman,2,MF,13,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,neutral,man_woman,Firefighter,neutral_compound,firefighter,2,MF,14,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,neutral,suffix,Actor,male_adoption,actor,4,MF,15,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,male,man_woman,Gentleperson,person_compound,gentleman,1,MF,16,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,male,suffix,Sorcerer,male_adoption,sorcerer,4,MF,17,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,female,gender_compound,Proprieter,suppletion,landlady,7,MF,18,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,male,man_woman,Crewmember,neutral_compound,crewman,2,MF,19,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,male,man_woman,Mail_Carrier,neutral_compound,mailman,2,MF,20,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,neutral,man_woman,Foreperson,person_compound,foreperson,4,MF,21,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,neutral,man_woman,Police_officer,neutral_compound,police officer,3,MF,22,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,neutral,man_woman,Garbage_Collector,neutral_compound,garbage collector,2,MF,23,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,female,man_woman,Layperson,person_compound,laywoman,7,MF,24,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,male,man_woman,God,male_adoption,god,4,MF,25,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,female,man_woman,Camera,neutral_compound,camerawoman,7,MF,26,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,neutral,suffix,Restaurant_server,suppletion,restaurant server,4,MF,27,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,female,man_woman,Meteorologist,suppletion,weatherwoman,7,MF,28,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,male,boy_girl,Newsboy,male_adoption,newsboy,1,MF,29,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,male,suffix,Flight_attendant,suppletion,airline steward,4,MF,30,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,female,gender_compound,Headteacher,neutral_compound,headmistress,7,MF,31,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,female,suffix,Villain,male_adoption,villainess,7,MF,32,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,neutral,man_woman,Chair,clipping,board chair,3,MF,33,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,neutral,suffix,Hero,male_adoption,hero,4,MF,34,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,female,suffix,Emperor,male_adoption,empress,7,MF,35,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,male,man_woman,Maintenance_Person,person_compound,handyman,2,MF,36,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,female,suffix,Hunter,male_adoption,huntress,7,MF,37,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,female,man_woman,Craftsperson,person_compound,craftswoman,7,MF,38,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,neutral,man_woman,Fisher,clipping,fisher,2,MF,39,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,female,boy_girl,Paper_carrier,neutral_compound,papergirl,7,MF,40,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,neutral,suffix,Usher,male_adoption,usher,3,MF,41,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
53,Comprehensive,male,man_woman,Door_attendant,neutral_compound,doorman,2,MF,42,[],36,Yes,,2,1,1,Female,English,Chrome,Linux,869,412,3.0227166666666667,
72,Comprehensive,,,example1,,,5,,2,[],22,Yes,,1,1,1,Male,English,Chrome,Windows,864,1536,3.2868833333333334,
72,Comprehensive,female,suffix,Hunter,male_adoption,huntress,1,MF,4,[],22,Yes,,1,1,1,Male,English,Chrome,Windows,864,1536,3.2868833333333334,
72,Comprehensive,male,suffix,Heir,male_adoption,heir,4,MF,5,[],22,Yes,,1,1,1,Male,English,Chrome,Windows,864,1536,3.2868833333333334,
72,Comprehensive,female,man_woman,Assemblyperson,person_compound,assemblywoman,7,MF,6,[],22,Yes,,1,1,1,Male,English,Chrome,Windows,864,1536,3.2868833333333334,
72,Comprehensive,neutral,man_woman,Businessperson,person_compound,businessperson,1,MF,7,[],22,Yes,,1,1,1,Male,English,Chrome,Windows,864,1536,3.2868833333333334,
72,Comprehensive,male,gender_compound,Bartender,neutral_compound,barman,1,MF,8,[],22,Yes,,1,1,1,Male,English,Chrome,Windows,864,1536,3.2868833333333334,
