workerid,proliferate.condition,condition,form,lexeme,name,region,response_correct,rt,trial_id,trial_no,word_idx,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.gender_q1,subject_information.gender_q10,subject_information.gender_q11,subject_information.gender_q12,subject_information.gender_q13,subject_information.gender_q2,subject_information.gender_q3,subject_information.gender_q4,subject_information.gender_q5,subject_information.gender_q6,subject_information.gender_q7,subject_information.gender_q8,subject_information.gender_q9,subject_information.language,subject_information.party_alignment,subject_information.price,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
125,all,neutral_female,Brittany,performer,Brittany,none,1,656,example,0,0,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,neutral_female,is,performer,Brittany,none,1,365,example,0,1,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,neutral_female,a,performer,Brittany,none,1,332,example,0,2,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,neutral_female,performer,performer,Brittany,critical,1,292,example,0,3,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,neutral_female,from,performer,Brittany,none,1,323,example,0,4,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,neutral_female,South Korea.,performer,Brittany,none,1,237,example,0,5,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,neutral_female,She,performer,Brittany,none,1,226,example,0,6,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,neutral_female,likes,performer,Brittany,none,1,414,example,0,7,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,neutral_female,cycling.,performer,Brittany,none,1,491,example,0,8,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_female,Jessica,salesperson,Jessica,none,1,342,salesperson_congruent_female,1,0,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_female,is,salesperson,Jessica,none,1,209,salesperson_congruent_female,1,1,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_female,a,salesperson,Jessica,none,1,155,salesperson_congruent_female,1,2,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_female,saleswoman,salesperson,Jessica,critical,1,245,salesperson_congruent_female,1,3,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_female,from,salesperson,Jessica,none,1,169,salesperson_congruent_female,1,4,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_female,Vermont.,salesperson,Jessica,none,1,221,salesperson_congruent_female,1,5,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_female,She,salesperson,Jessica,none,1,222,salesperson_congruent_female,1,6,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_female,likes,salesperson,Jessica,none,1,187,salesperson_congruent_female,1,7,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_female,camping.,salesperson,Jessica,none,1,237,salesperson_congruent_female,1,8,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_male,Michael,firefighter,Michael,none,1,220,firefighter_congruent_male,2,0,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_male,is,firefighter,Michael,none,1,268,firefighter_congruent_male,2,1,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_male,a,firefighter,Michael,none,1,204,firefighter_congruent_male,2,2,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_male,fireman,firefighter,Michael,critical,1,188,firefighter_congruent_male,2,3,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_male,from,firefighter,Michael,none,1,172,firefighter_congruent_male,2,4,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_male,Indiana.,firefighter,Michael,none,1,196,firefighter_congruent_male,2,5,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_male,He,firefighter,Michael,none,1,436,firefighter_congruent_male,2,6,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_male,likes,firefighter,Michael,none,1,196,firefighter_congruent_male,2,7,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,congruent_male,walking.,firefighter,Michael,none,1,236,firefighter_congruent_male,2,8,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,neutral_male,Joshua,flight attendant,Joshua,none,1,379,flight attendant_neutral_male,3,0,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,neutral_male,is,flight attendant,Joshua,none,1,197,flight attendant_neutral_male,3,1,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,neutral_male,a,flight attendant,Joshua,none,1,212,flight attendant_neutral_male,3,2,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
125,all,neutral_male,flight attendant,flight attendant,Joshua,critical,1,140,flight attendant_neutral_male,3,3,29,Yes,,4,2,Female,92,5,6,2,2,100,100,100,92,53,53,9,8,English,3,1,Safari,Mac,900,1440,3.2138333333333335,
