workerid,proliferate.condition,condition,form,lbr_after,lbr_before,lexeme,name,region,response_correct,rt,trial_id,trial_no,word_idx,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.gender_q1,subject_information.gender_q10,subject_information.gender_q11,subject_information.gender_q12,subject_information.gender_q13,subject_information.gender_q2,subject_information.gender_q3,subject_information.gender_q4,subject_information.gender_q5,subject_information.gender_q6,subject_information.gender_q7,subject_information.gender_q8,subject_information.gender_q9,subject_information.language,subject_information.party_alignment,subject_information.price,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
119,all,neutral_female,Brittany,0,0,performer,Brittany,none,1,430,example,0,0,23,Yes,,2,2,Female,100,16,0,0,0,100,100,100,100,49,0,0,23,Engligh,5,1,Chrome,Mac,800,1280,3.5265,
119,all,neutral_female,is,0,0,performer,Brittany,none,1,413,example,0,1,23,Yes,,2,2,Female,100,16,0,0,0,100,100,100,100,49,0,0,23,Engligh,5,1,Chrome,Mac,800,1280,3.5265,
119,all,neutral_female,a,0,0,performer,Brittany,none,1,294,example,0,2,23,Yes,,2,2,Female,100,16,0,0,0,100,100,100,100,49,0,0,23,Engligh,5,1,Chrome,Mac,800,1280,3.5265,
119,all,neutral_female,performer,0,0,performer,Brittany,critical,1,358,example,0,3,23,Yes,,2,2,Female,100,16,0,0,0,100,100,100,100,49,0,0,23,Engligh,5,1,Chrome,Mac,800,1280,3.5265,
119,all,neutral_female,from,0,0,performer,Brittany,none,1,349,example,0,4,23,Yes,,2,2,Female,100,16,0,0,0,100,100,100,100,49,0,0,23,Engligh,5,1,Chrome,Mac,800,1280,3.5265,
119,all,neutral_female,South Korea.,0,0,performer,Brittany,none,1,298,example,0,5,23,Yes,,2,2,Female,100,16,0,0,0,100,100,100,100,49,0,0,23,Engligh,5,1,Chrome,Mac,800,1280,3.5265,
119,all,neutral_female,She,0,0,performer,Brittany,none,1,384,example,0,6,23,Yes,,2,2,Female,100,16,0,0,0,100,100,100,100,49,0,0,23,Engligh,5,1,Chrome,Mac,800,1280,3.5265,
119,all,neutral_female,likes,0,0,performer,Brittany,none,1,349,example,0,7,23,Yes,,2,2,Female,100,16,0,0,0,100,100,100,100,49,0,0,23,Engligh,5,1,Chrome,Mac,800,1280,3.5265,
119,all,neutral_female,cycling.,0,0,performer,Brittany,none,1,589,example,0,8,23,Yes,,2,2,Female,100,16,0,0,0,100,100,100,100,49,0,0,23,Engligh,5,1,Chrome,Mac,800,1280,3.5265,
119,all,neutral_male,Andrew,0,0,firefighter,Andrew,none,1,381,_neutral_male,1,0,23,Yes,,2,2,Female,100,16,0,0,0,100,100,100,100,49,0,0,23,Engligh,5,1,Chrome,Mac,800,1280,3.5265,
119,all,neutral_male,is,0,0,firefighter,Andrew,none,1,283,_neutral_male,1,1,23,Yes,,2,2,Female,100,16,0,0,0,100,100,100,100,49,0,0,23,Engligh,5,1,Chrome,Mac,800,1280,3.5265,
119,all,neutral_male,a,0,0,firefighter,Andrew,none,1,266,_neutral_male,1,2,23,Yes,,2,2,Female,100,16,0,0,0,100,100,100,100,49,0,0,23,Engligh,5,1,Chrome,Mac,800,1280,3.5265,
