workerid,proliferate.condition,choice,correct,gender,lexeme,name,response,trial_id,trial_no,type,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.gender_q1,subject_information.gender_q10,subject_information.gender_q11,subject_information.gender_q12,subject_information.gender_q13,subject_information.gender_q2,subject_information.gender_q3,subject_information.gender_q4,subject_information.gender_q5,subject_information.gender_q6,subject_information.gender_q7,subject_information.gender_q8,subject_information.gender_q9,subject_information.language,subject_information.party_alignment,subject_information.price,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
958,Reps,True,,,,,,example,,,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,1,attention,eating,attention,eat,,0,test_grammatical,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,female,craftsperson,Samantha,craftswoman,,1,critical,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,male,foreperson,William,foreman,,2,critical,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,filler,numbers,filler,habits,,3,filler_semantic,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,female,camera operator,Madison,camerawoman,,4,critical,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,filler,tree,filler,down,,5,filler_grammatical,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,filler,sipping,filler,on,,6,filler_grammatical,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,male,villain,Andrew,villain,,7,critical,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,filler,lawyer,filler,lawyer,,8,filler_semantic,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,filler,programmer,filler,software engineer,,9,filler_semantic,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,male,anchor,Christopher,anchorman,,10,critical,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,1,attention,typing,attention,the,,11,test_grammatical,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,filler,China,filler,to,,12,filler_grammatical,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,filler,napkin,filler,towel,,13,filler_semantic,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,filler,singer,filler,singer,,14,filler_semantic,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,filler,fountain,filler,puddle,,15,filler_semantic,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,filler,there,filler,are,,16,filler_grammatical,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
958,Reps,,0,filler,lake,filler,lives,,17,filler_grammatical,26,Yes,,4,2,Male,84,0,0,0,49,100,100,100,100,88,11,24,0,English,2,1,Chrome,Windows,1080,1920,9.34445,
