workerid,proliferate.condition,gender,gendered_morph,id,neutral_morh,orthog,response,scale,slide_number_in_experiment,error
53,Comprehensive,,,example1,,,5,,2,
53,Comprehensive,male,man_woman,Horseperson,person_compound,horseman,2,MF,4,
53,Comprehensive,male,man_woman,Salesperson,person_compound,salesman,2,MF,5,
53,Comprehensive,female,suffix,Heir,male_adoption,heiress,7,MF,6,
53,Comprehensive,neutral,man_woman,Congressperson,person_compound,congressperson,4,MF,7,
53,Comprehensive,neutral,man_woman,Assemblyperson,person_compound,assemblyperson,4,MF,8,
53,Comprehensive,female,man_woman,Anchor,clipping,anchorwoman,7,MF,9,
53,Comprehensive,neutral,gender_compound,Bartender,neutral_compound,bartender,4,MF,10,
53,Comprehensive,male,man_woman,Businessperson,person_compound,businessman,2,MF,11,
53,Comprehensive,female,suffix,Host,male_adoption,hostess,7,MF,12,
53,Comprehensive,male,man_woman,Stunt_double,neutral_compound,stuntman,2,MF,13,
53,Comprehensive,neutral,man_woman,Firefighter,neutral_compound,firefighter,2,MF,14,
53,Comprehensive,neutral,suffix,Actor,male_adoption,actor,4,MF,15,
53,Comprehensive,male,man_woman,Gentleperson,person_compound,gentleman,1,MF,16,
53,Comprehensive,male,suffix,Sorcerer,male_adoption,sorcerer,4,MF,17,
53,Comprehensive,female,gender_compound,Proprieter,suppletion,landlady,7,MF,18,
53,Comprehensive,male,man_woman,Crewmember,neutral_compound,crewman,2,MF,19,
53,Comprehensive,male,man_woman,Mail_Carrier,neutral_compound,mailman,2,MF,20,
53,Comprehensive,neutral,man_woman,Foreperson,person_compound,foreperson,4,MF,21,
53,Comprehensive,neutral,man_woman,Police_officer,neutral_compound,police officer,3,MF,22,
53,Comprehensive,neutral,man_woman,Garbage_Collector,neutral_compound,garbage collector,2,MF,23,
53,Comprehensive,female,man_woman,Layperson,person_compound,laywoman,7,MF,24,
53,Comprehensive,male,man_woman,God,male_adoption,god,4,MF,25,
53,Comprehensive,female,man_woman,Camera,neutral_compound,camerawoman,7,MF,26,
53,Comprehensive,neutral,suffix,Restaurant_server,suppletion,restaurant server,4,MF,27,
53,Comprehensive,female,man_woman,Meteorologist,suppletion,weatherwoman,7,MF,28,
53,Comprehensive,male,boy_girl,Newsboy,male_adoption,newsboy,1,MF,29,
53,Comprehensive,male,suffix,Flight_attendant,suppletion,airline steward,4,MF,30,
53,Comprehensive,female,gender_compound,Headteacher,neutral_compound,headmistress,7,MF,31,
53,Comprehensive,female,suffix,Villain,male_adoption,villainess,7,MF,32,
