Lexeme,Male,Female,Neutral
Actor,Actor,Actress,Actor
Anchor,Anchorman,Anchorwoman,News anchor
Assemblyperson,Assemblyman,Assemblywoman,Assemblyperson
Bartender,Barman,Barmaid,Bartender
Businessperson,Businessman,Businesswoman,Businessperson
Camera operator,Cameraman,Camerawoman,Camera operator
Chair,Chairman,Chairwoman,Chair
Congressperson,Congressman,Congresswoman,Congressperson
Craftsperson,Craftsman,Craftswoman,Craftsperson
Crewmember,Crewman,Crewwoman,Crewmember
Door attendant,Doorman,Doorwoman,Door attendant
Emperor,Emperor,Empress,Emperor
Firefighter,Fireman,Firewoman,Firefighter
Fisher,Fisherman,Fisherwoman,Fisher
Flight attendant,Airline steward ,Airline stewardess,Flight attendant
Foreperson,Foreman,Forewoman,Foreperson
Garbage collector,Garbageman,Garbagewoman,Garbage collector
Gentleperson,Gentleman,Gentlewoman,Gentleperson
God,God,Goddess,God
Headteacher,Headmaster,Headmistress,Headteacher
Heir,Heir,Heiress,Heir
Hero,Hero,Heroine,Hero
Horesperson,Horseman,Horsewoman,Horesperson
Host,Host,Hostess,Host
Hunter,Hunter,Huntress,Hunter
Layperson,Layman,Laywoman,Layperson
Mail carrier,Mailman,Mailwoman,Mail carrier
Maintenance person,Handyman,Handywoman,Maintenance person
Meteorologist,Weatherman,Weatherwoman,Meteorologist
Newsboy,Newsboy,Newsgirl,Newsboy
Paper carrier,Paperboy,Papergirl,Paper carrier
Police officer,Policeman,Policewoman,Police officer
Proprieter,Landlord,Landlady,Proprieter
Restaurant server,Waiter,Waitress,Restaurant server
Salesperson,Salesman,Saleswoman,Salesperson
Sorcerer,Sorcerer,Sorceress,Sorcerer
Stunt double,Stuntman,Stuntwoman,Stunt double
Usher,Usher,Usherette,Usher
Villain,Villain,Villainess,Villain
