workerid,proliferate.condition,familiarity,gender,gendered_morph,id,neutral_morh,orthog,response,scale,sentence,slide_number_in_experiment,error
4,Pilot,,,,example1,,,6,,,2,
4,Pilot,,male,man_woman,Camera,neutral_compound,cameraman,1,MF,,4,
4,Pilot,,neutral,man_woman,Stunt_double,neutral_compound,stunt double,2,MF,,5,
4,Pilot,,neutral,man_woman,Anchor,clipping,anchor,4,MF,,6,
4,Pilot,unfamiliar,neutral,man_woman,Layperson,person_compound,layperson,4,MF,,7,
4,Pilot,,female,man_woman,Salesperson,person_compound,saleswoman,7,MF,,8,
4,Pilot,,female,man_woman,Door_attendant,neutral_compound,doorwoman,7,MF,,9,
4,Pilot,,neutral,man_woman,Garbage_Collector,neutral_compound,garbage collector,2,MF,,10,
4,Pilot,,female,man_woman,Assemblyperson,person_compound,assemblywoman,7,MF,,11,
4,Pilot,,female,suffix,Actor,male_adoption,actress,7,MF,,12,
4,Pilot,,male,man_woman,Craftsperson,person_compound,craftsman,1,MF,,13,
4,Pilot,,neutral,man_woman,Police_officer,neutral_compound,police officer,3,MF,,14,
4,Pilot,,male,man_woman,Mail_Carrier,neutral_compound,mailman,1,MF,,15,
4,Pilot,unfamiliar,neutral,suffix,Heir,male_adoption,heir,4,MF,,16,
4,Pilot,,male,suffix,Hunter,male_adoption,hunter,3,MF,,17,
4,Pilot,,male,suffix,Hero,male_adoption,hero,3,MF,,18,
4,Pilot,,neutral,suffix,Sorcerer,male_adoption,sorcerer,5,MF,,19,
4,Pilot,,male,man_woman,Foreperson,person_compound,foreman,2,MF,,20,
4,Pilot,unfamiliar,female,suffix,Usher,male_adoption,usherette,4,MF,,21,
4,Pilot,,neutral,man_woman,Businessperson,person_compound,businessperson,3,MF,,22,
4,Pilot,,female,man_woman,Crewmember,neutral_compound,crewwoman,7,MF,,23,
4,Pilot,,male,man_woman,Gentleperson,person_compound,gentleman,1,MF,,24,
4,Pilot,,male,man_woman,Meteorologist,suppletion,weatherman,1,MF,,25,
4,Pilot,,female,gender_compound,Proprieter,suppletion,landlady,7,MF,,26,
4,Pilot,,female,man_woman,Congressperson,person_compound,congresswoman,7,MF,,27,
4,Pilot,,neutral,suffix,Emperor,male_adoption,emperor,3,MF,,28,
4,Pilot,,female,gender_compound,Bartender,neutral_compound,barmaid,7,MF,,29,
4,Pilot,,neutral,man_woman,Fisher,clipping,fisher,3,MF,,30,
4,Pilot,,female,man_woman,God,male_adoption,goddess,7,MF,,31,
4,Pilot,,neutral,suffix,Flight_attendant,suppletion,flight attendant,6,MF,,32,
4,Pilot,,male,suffix,Restaurant_server,suppletion,waiter,3,MF,,33,
4,Pilot,,female,gender_compound,Headteacher,neutral_compound,headmistress,7,MF,,34,
4,Pilot,,neutral,man_woman,Maintenance_Person,person_compound,maintenance person,3,MF,,35,
4,Pilot,,male,boy_girl,Newsboy,male_adoption,newsboy,1,MF,,36,
4,Pilot,,male,man_woman,Firefighter,neutral_compound,fireman,1,MF,,37,
4,Pilot,,female,man_woman,Chair,clipping,chairwoman,7,MF,,38,
4,Pilot,,male,boy_girl,Paper_carrier,neutral_compound,paperboy,1,MF,,39,
4,Pilot,,male,man_woman,Horseperson,person_compound,horseman,1,MF,,40,
4,Pilot,,female,suffix,Villain,male_adoption,villainess,5,MF,,41,
4,Pilot,,neutral,suffix,Host,male_adoption,host,2,MF,,42,
6,Pilot,,,,example1,,,5,,,2,
6,Pilot,,neutral,suffix,Usher,male_adoption,usher,3,MF,,4,
6,Pilot,,female,gender_compound,Headteacher,neutral_compound,headmistress,7,MF,,5,
6,Pilot,,neutral,man_woman,Meteorologist,suppletion,meteorologist,4,MF,,6,
6,Pilot,,female,suffix,Sorcerer,male_adoption,sroceress,7,MF,,7,
6,Pilot,,neutral,man_woman,Stunt_double,neutral_compound,stunt double,4,MF,,8,
6,Pilot,,female,man_woman,Crewmember,neutral_compound,crewwoman,7,MF,,9,
6,Pilot,,neutral,suffix,Emperor,male_adoption,emperor,1,MF,,10,
6,Pilot,,female,suffix,Villain,male_adoption,villainess,7,MF,,11,
6,Pilot,,neutral,suffix,Restaurant_server,suppletion,restaurant server,4,MF,,12,
6,Pilot,,male,man_woman,Salesperson,person_compound,salesman,2,MF,,13,
6,Pilot,,neutral,suffix,Flight_attendant,suppletion,flight attendant,4,MF,,14,
6,Pilot,,female,gender_compound,Proprieter,suppletion,landlady,7,MF,,15,
6,Pilot,,male,man_woman,Assemblyperson,person_compound,assemblyman,2,MF,,16,
6,Pilot,,male,man_woman,Maintenance_Person,person_compound,handyman,3,MF,,17,
6,Pilot,,female,man_woman,Horseperson,person_compound,horsewoman,7,MF,,18,
6,Pilot,,female,man_woman,Camera,neutral_compound,camerawoman,7,MF,,19,
6,Pilot,,female,man_woman,Layperson,person_compound,laywoman,7,MF,,20,
6,Pilot,,male,man_woman,Mail_Carrier,neutral_compound,mailman,3,MF,,21,
6,Pilot,,male,man_woman,Anchor,clipping,anchorman,2,MF,,22,
6,Pilot,,male,gender_compound,Bartender,neutral_compound,barman,3,MF,,23,
6,Pilot,,male,boy_girl,Paper_carrier,neutral_compound,paperboy,3,MF,,24,
6,Pilot,,neutral,suffix,Actor,male_adoption,actor,4,MF,,25,
6,Pilot,,male,man_woman,Craftsperson,person_compound,craftsman,3,MF,,26,
6,Pilot,,female,man_woman,Police_officer,neutral_compound,policewoman,7,MF,,27,
6,Pilot,,female,man_woman,Chair,clipping,chairwoman,7,MF,,28,
6,Pilot,,male,man_woman,Gentleperson,person_compound,gentleman,1,MF,,29,
6,Pilot,,neutral,man_woman,Door_attendant,neutral_compound,door attendant,4,MF,,30,
6,Pilot,,neutral,man_woman,Congressperson,person_compound,congressperson,4,MF,,31,
6,Pilot,,male,man_woman,Firefighter,neutral_compound,fireman,3,MF,,32,
6,Pilot,,female,man_woman,Garbage_Collector,neutral_compound,garbagewoman,7,MF,,33,
6,Pilot,,male,man_woman,Foreperson,person_compound,foreman,4,MF,,34,
6,Pilot,,neutral,suffix,Hunter,male_adoption,hunter,4,MF,,35,
6,Pilot,,neutral,man_woman,God,male_adoption,god,3,MF,,36,
6,Pilot,,neutral,man_woman,Businessperson,person_compound,businessperson,4,MF,,37,
6,Pilot,,neutral,man_woman,Fisher,clipping,fisher,4,MF,,38,
6,Pilot,,male,suffix,Heir,male_adoption,heir,2,MF,,39,
6,Pilot,,female,boy_girl,Newsboy,male_adoption,newsgirl,7,MF,,40,
6,Pilot,,male,suffix,Hero,male_adoption,hero,4,MF,,41,
6,Pilot,,female,suffix,Host,male_adoption,hostess,6,MF,,42,
3,Pilot,,,,example1,,,4,,,2,
3,Pilot,,female,man_woman,God,male_adoption,goddess,7,MF,,4,
3,Pilot,,male,man_woman,Crewmember,neutral_compound,crewman,3,MF,,5,
3,Pilot,,male,man_woman,Anchor,clipping,anchorman,1,MF,,6,
3,Pilot,,male,suffix,Flight_attendant,suppletion,airline steward,5,MF,,7,
3,Pilot,,neutral,man_woman,Police_officer,neutral_compound,police officer,4,MF,,8,
3,Pilot,,female,man_woman,Meteorologist,suppletion,weatherwoman,7,MF,,9,
3,Pilot,,male,man_woman,Stunt_double,neutral_compound,stuntman,1,MF,,10,
3,Pilot,,female,suffix,Hunter,male_adoption,huntress,7,MF,,11,
3,Pilot,,neutral,boy_girl,Paper_carrier,neutral_compound,paper carrier,4,MF,,12,
3,Pilot,,female,suffix,Heir,male_adoption,heiress,7,MF,,13,
3,Pilot,,male,suffix,Actor,male_adoption,actor,1,MF,,14,
3,Pilot,,female,man_woman,Layperson,person_compound,laywoman,7,MF,,15,
3,Pilot,,female,suffix,Restaurant_server,suppletion,waitress,7,MF,,16,
3,Pilot,,neutral,man_woman,Assemblyperson,person_compound,assemblyperson,4,MF,,17,
3,Pilot,,female,man_woman,Mail_Carrier,neutral_compound,mailwoman,7,MF,,18,
3,Pilot,,neutral,man_woman,Fisher,clipping,fisher,4,MF,,19,
3,Pilot,,male,man_woman,Chair,clipping,chairman,1,MF,,20,
3,Pilot,,male,man_woman,Door_attendant,neutral_compound,doorman,4,MF,,21,
3,Pilot,,neutral,boy_girl,Newsboy,male_adoption,newsboy,1,MF,,22,
3,Pilot,,neutral,suffix,Usher,male_adoption,usher,4,MF,,23,
3,Pilot,,neutral,suffix,Emperor,male_adoption,emperor,1,MF,,24,
3,Pilot,,female,man_woman,Garbage_Collector,neutral_compound,garbagewoman,7,MF,,25,
3,Pilot,,female,suffix,Villain,male_adoption,villainess,7,MF,,26,
3,Pilot,,male,gender_compound,Bartender,neutral_compound,barman,2,MF,,27,
3,Pilot,,female,man_woman,Foreperson,person_compound,forewoman,7,MF,,28,
3,Pilot,,neutral,gender_compound,Proprieter,suppletion,proprieter,4,MF,,29,
3,Pilot,,male,man_woman,Salesperson,person_compound,salesman,4,MF,,30,
3,Pilot,,neutral,suffix,Hero,male_adoption,hero,3,MF,,31,
3,Pilot,,male,man_woman,Firefighter,neutral_compound,fireman,4,MF,,32,
3,Pilot,,male,man_woman,Maintenance_Person,person_compound,handyman,4,MF,,33,
3,Pilot,,female,man_woman,Gentleperson,person_compound,gentlewoman,7,MF,,34,
3,Pilot,,neutral,suffix,Sorcerer,male_adoption,sorcerer,1,MF,,35,
3,Pilot,,female,gender_compound,Headteacher,neutral_compound,headmistress,7,MF,,36,
3,Pilot,,male,man_woman,Congressperson,person_compound,congressman,3,MF,,37,
3,Pilot,,neutral,man_woman,Horseperson,person_compound,horseperson,4,MF,,38,
3,Pilot,,female,man_woman,Businessperson,person_compound,businesswoman,7,MF,,39,
3,Pilot,,male,man_woman,Camera,neutral_compound,cameraman,3,MF,,40,
3,Pilot,,neutral,suffix,Host,male_adoption,host,3,MF,,41,
3,Pilot,,neutral,man_woman,Craftsperson,person_compound,craftsperson,4,MF,,42,
5,Pilot,,,,example1,,,4,,,2,
5,Pilot,,male,gender_compound,Headteacher,neutral_compound,headmaster,2,MF,,4,
5,Pilot,,female,suffix,Actor,male_adoption,actress,6,MF,,5,
5,Pilot,,male,man_woman,Camera,neutral_compound,cameraman,2,MF,,6,
5,Pilot,,male,man_woman,Congressperson,person_compound,congressman,1,MF,,7,
5,Pilot,,neutral,boy_girl,Newsboy,male_adoption,newsboy,1,MF,,8,
5,Pilot,,neutral,boy_girl,Paper_carrier,neutral_compound,paper carrier,4,MF,,9,
5,Pilot,,neutral,suffix,Heir,male_adoption,heir,4,MF,,10,
5,Pilot,,neutral,man_woman,Maintenance_Person,person_compound,maintenance person,3,MF,,11,
5,Pilot,,neutral,gender_compound,Bartender,neutral_compound,bartender,3,MF,,12,
5,Pilot,,female,man_woman,Layperson,person_compound,laywoman,6,MF,,13,
5,Pilot,,male,man_woman,Firefighter,neutral_compound,fireman,2,MF,,14,
5,Pilot,,female,man_woman,Fisher,clipping,fisherwoman,6,MF,,15,
5,Pilot,,neutral,man_woman,Gentleperson,person_compound,gentleperson,4,MF,,16,
5,Pilot,,female,suffix,Flight_attendant,suppletion,airline stewardess,6,MF,,17,
5,Pilot,,male,suffix,Hunter,male_adoption,hunter,2,MF,,18,
5,Pilot,,female,man_woman,Door_attendant,neutral_compound,doorwoman,7,MF,,19,
5,Pilot,,neutral,man_woman,Garbage_Collector,neutral_compound,garbage collector,3,MF,,20,
5,Pilot,,male,man_woman,Chair,clipping,chairman,2,MF,,21,
5,Pilot,,female,suffix,Usher,male_adoption,usherette,5,MF,,22,
5,Pilot,,neutral,man_woman,Foreperson,person_compound,foreperson,4,MF,,23,
5,Pilot,,male,man_woman,Stunt_double,neutral_compound,stuntman,1,MF,,24,
5,Pilot,,neutral,suffix,Emperor,male_adoption,emperor,3,MF,,25,
5,Pilot,,female,man_woman,God,male_adoption,goddess,6,MF,,26,
5,Pilot,,female,suffix,Host,male_adoption,hostess,6,MF,,27,
5,Pilot,,male,man_woman,Meteorologist,suppletion,weatherman,1,MF,,28,
5,Pilot,,neutral,suffix,Hero,male_adoption,hero,3,MF,,29,
5,Pilot,,male,man_woman,Crewmember,neutral_compound,crewman,2,MF,,30,
5,Pilot,,male,gender_compound,Proprieter,suppletion,landlord,2,MF,,31,
5,Pilot,,female,man_woman,Police_officer,neutral_compound,policewoman,6,MF,,32,
5,Pilot,,male,man_woman,Salesperson,person_compound,salesman,1,MF,,33,
5,Pilot,,male,man_woman,Horseperson,person_compound,horseman,3,MF,,34,
5,Pilot,,female,man_woman,Mail_Carrier,neutral_compound,mailwoman,6,MF,,35,
5,Pilot,,female,man_woman,Assemblyperson,person_compound,assemblywoman,6,MF,,36,
5,Pilot,,female,suffix,Sorcerer,male_adoption,sroceress,5,MF,,37,
5,Pilot,,neutral,suffix,Restaurant_server,suppletion,restaurant server,4,MF,,38,
5,Pilot,,female,man_woman,Craftsperson,person_compound,craftswoman,6,MF,,39,
5,Pilot,,neutral,suffix,Villain,male_adoption,villain,3,MF,,40,
5,Pilot,,male,man_woman,Businessperson,person_compound,businessman,2,MF,,41,
5,Pilot,,neutral,man_woman,Anchor,clipping,anchor,3,MF,,42,
